country_code,experiment,model,feature,feature_label,importance
id,actionable_context,GradientBoostedStumpsFallback,log1p_rating_count,rating volume,0.7162581398011627
id,actionable_context,GradientBoostedStumpsFallback,log1p_follower_count,shop followers,0.12953898825546414
id,actionable_context,GradientBoostedStumpsFallback,rating_star,shop rating,0.06871942903666758
id,actionable_context,GradientBoostedStumpsFallback,log1p_liked_count,listing likes,0.04890740651872583
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=Prettywell,brand grouped: Prettywell,0.019607677074241
id,actionable_context,GradientBoostedStumpsFallback,log1p_price,log1p price,0.010743400263258195
id,actionable_context,GradientBoostedStumpsFallback,likes_to_rating_ratio,likes to rating ratio,0.004619565164147553
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=Other,brand grouped: Other,0.0016053938863329377
id,actionable_context,GradientBoostedStumpsFallback,price_ratio_original,price ratio original,0.0
id,actionable_context,GradientBoostedStumpsFallback,has_promotion_id,has promotion id,0.0
id,actionable_context,GradientBoostedStumpsFallback,price_ratio_pre_promo,price ratio pre promo,0.0
id,actionable_context,GradientBoostedStumpsFallback,price_pct_country_category,peer-relative price,0.0
id,actionable_context,GradientBoostedStumpsFallback,price_pct_shop,shop-relative price,0.0
id,actionable_context,GradientBoostedStumpsFallback,displayed_discount_pct,displayed discount depth,0.0
id,actionable_context,GradientBoostedStumpsFallback,discount_pct_peer,peer-relative discount,0.0
id,actionable_context,GradientBoostedStumpsFallback,has_displayed_discount,has displayed discount,0.0
id,actionable_context,GradientBoostedStumpsFallback,has_voucher,has voucher,0.0
id,actionable_context,GradientBoostedStumpsFallback,voucher_min_spend_missing,voucher min spend missing,0.0
id,actionable_context,GradientBoostedStumpsFallback,voucher_discount_missing,voucher discount missing,0.0
id,actionable_context,GradientBoostedStumpsFallback,voucher_min_spend,voucher min spend,0.0
id,actionable_context,GradientBoostedStumpsFallback,voucher_discount,voucher discount,0.0
id,actionable_context,GradientBoostedStumpsFallback,deep_discount_flag,deep discount flag,0.0
id,actionable_context,GradientBoostedStumpsFallback,promotion_mechanism_count,promotion mechanism count,0.0
id,actionable_context,GradientBoostedStumpsFallback,is_promoted,current promotion status,0.0
id,actionable_context,GradientBoostedStumpsFallback,rating,rating,0.0
id,actionable_context,GradientBoostedStumpsFallback,response_rate,response rate,0.0
id,actionable_context,GradientBoostedStumpsFallback,cancellation_rate,cancellation rate,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_assortment_size,shop assortment size,0.0
id,actionable_context,GradientBoostedStumpsFallback,platform_category=Health,platform category: Health,0.0
id,actionable_context,GradientBoostedStumpsFallback,platform_category=Mom & Baby,platform category: Mom & Baby,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Bright Me Up ! Sunscreen SPF 40 PA ++++,shop category: Bright Me Up ! Sunscreen SPF 40 PA ++++,0.0
id,actionable_context,GradientBoostedStumpsFallback,high_like_indicator,high like indicator,0.0
id,actionable_context,GradientBoostedStumpsFallback,is_official_shop,is official shop,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Calming Agent,shop category: Calming Agent,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Exclusive Member,shop category: Exclusive Member,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=FLAKES OFF MY CROWN SELENIUM,shop category: FLAKES OFF MY CROWN SELENIUM,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Ginger Hair Care Serum,shop category: Ginger Hair Care Serum,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Hair And Body Mist,shop category: Hair And Body Mist,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Hair Care,shop category: Hair Care,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Hair Mask,shop category: Hair Mask,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=LET IT GLOW,shop category: LET IT GLOW,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=LIPSCREEN,shop category: LIPSCREEN,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=LVJ BODY CARE SERIES,shop category: LVJ BODY CARE SERIES,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=LVJ HAIR CARE SERIES,shop category: LVJ HAIR CARE SERIES,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Lotion,shop category: Lotion,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=MAKE UP,shop category: MAKE UP,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Masker Wajah,shop category: Masker Wajah,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Bundle,shop category: Bundle,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=CALM ME SOFTLY,shop category: CALM ME SOFTLY,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=On Sale,shop category: On Sale,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=New Launch,shop category: New Launch,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=PROMO BUY MORE SAVE MORE,shop category: PROMO BUY MORE SAVE MORE,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=PROMO ❗,shop category: PROMO ❗,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Paket Perawatan Kulit,shop category: Paket Perawatan Kulit,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Peeling Serum,shop category: Peeling Serum,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Paket & Set Kecantikan,shop category: Paket & Set Kecantikan,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Paket Bundling,shop category: Paket Bundling,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=REPAIR ME NOW,shop category: REPAIR ME NOW,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=SHOP BY NEEDS,shop category: SHOP BY NEEDS,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=SKINCARE,shop category: SKINCARE,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Serum & Essence Wajah,shop category: Serum & Essence Wajah,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Serum Wajah,shop category: Serum Wajah,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Skin Care,shop category: Skin Care,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Perawatan Tubuh,shop category: Perawatan Tubuh,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Produk Terlaris,shop category: Produk Terlaris,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Special Day Banting Harga ✨💵,shop category: Special Day Banting Harga ✨💵,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Skincare Wajah,shop category: Skincare Wajah,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Toner,shop category: Toner,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=Unknown,shop category: Unknown,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=💖NEW LAUNCH,shop category: 💖NEW LAUNCH,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=GLAD2GLOW,brand grouped: GLAD2GLOW,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=powder&spray setting,shop category: powder&spray setting,0.0
id,actionable_context,GradientBoostedStumpsFallback,shop_category=✨BEST SELLING,shop category: ✨BEST SELLING,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=Mooi Pure Glow,brand grouped: Mooi Pure Glow,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=He-Ji,brand grouped: He-Ji,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=SCORA,brand grouped: SCORA,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=Unknown,brand grouped: Unknown,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=ZOICY,brand grouped: ZOICY,0.0
id,actionable_context,GradientBoostedStumpsFallback,brand_grouped=lavojoy,brand grouped: lavojoy,0.0
id,actionable_context,GradientBoostedStumpsFallback,price_band=Mid-market,price band: Mid-market,0.0
id,actionable_context,GradientBoostedStumpsFallback,price_band=Premium,price band: Premium,0.0
vn,actionable_context,GradientBoostedStumpsFallback,log1p_rating_count,rating volume,0.5164415639050198
vn,actionable_context,GradientBoostedStumpsFallback,brand_grouped=Nescafé,brand grouped: Nescafé,0.1112989420529707
vn,actionable_context,GradientBoostedStumpsFallback,is_official_shop,is official shop,0.10525431231007995
vn,actionable_context,GradientBoostedStumpsFallback,log1p_liked_count,listing likes,0.08362128560485825
vn,actionable_context,GradientBoostedStumpsFallback,shop_assortment_size,shop assortment size,0.06318629497992645
vn,actionable_context,GradientBoostedStumpsFallback,response_rate,response rate,0.0418431075238028
vn,actionable_context,GradientBoostedStumpsFallback,brand_grouped=MILO,brand grouped: MILO,0.033683630621729854
