platform,key,country_code,date,shop_id,shop_slug,shop_name,location,item_id,product_name,url,image_url,images,seller_flag,seller_flag_hash,image_overlay,image_overlay_hash,is_ad,is_sold_out,shopee_verified,ctime,price,price_original,price_before_promo,discount_percent,promotion_id,voucher_code,voucher_discount,voucher_start_time,voucher_end_time,voucher_min_spend,history_sold_value,monthly_sold_value,rating,rating_count,rating_count_detail,vouchers,brand,brand_id,catid,global_catids,liked_count,tier_variation_name,tier_variation_options,_source_path,rating_star,follower_count,item_count,is_official_shop,response_rate,cancellation_rate,platform_category,primary_shop_category_id,shop_category,displayed_discount_pct,price_ratio_original,price_ratio_pre_promo,price_pct_country_category,price_pct_shop,price_band,has_displayed_discount,has_voucher,has_promotion_id,is_promoted,promotion_mechanism_count,deep_discount_flag,discount_pct_peer,log1p_liked_count,log1p_rating_count,likes_to_rating_ratio,likes_pct_peer,rating_count_pct_peer,sold_pct_peer,high_like_indicator,shop_assortment_size,follower_pct_country,shop_rating_pct_country,brand_grouped,country_category,engagement_strength,price_competitiveness,shop_credibility,promotion_efficiency,conversion_gap,conversion_gap_candidate,log1p_history_sold,log1p_price,log1p_follower_count,voucher_discount_missing,voucher_min_spend_missing,score_balanced,rank_balanced,score_growth_opportunity,rank_growth_opportunity,score_hero_protection,rank_hero_protection,opportunity_score,recommendation_label,reason_1,reason_2,reason_3,country,category,current_price,likes,monthly_sold_value_proxy,top_three_explanation_reasons,confidence_level,peer_group_benchmark
Shopee,,vn,2026-07-01,108166524,nestlevnn,Nestlé Chính hãng,Tỉnh Bắc Ninh,55952428549,Hộp Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 15 gói Vị Mạnh đặc trưng,https://shopee.vn/product/108166524/55952428549,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq2x55x8a8zk5f,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq2x55x8a8zk5f"", ""https://down-vn.img.susercontent.com/file/sg-11134301-8226v-mhr4vnoomyh432"", ""https://down-vn.img.susercontent.com/file/sg-11134301-8226x-mhr4vtmm7qirea"", ""https://down-vn.img.susercontent.com/file/sg-11134301-7rdxn-mchmdvpwj97892""]","[""FBS_LOGO"", ""OFFICIAL_SHOP""]","[""id-11134258-81ztc-mdu2vrxb2tc065"", ""vn-11134258-7r98o-lyb3kdam2qw17d""]",18VCX+SSCBundle[1.7],vn-11134258-81ztc-mpuaa0q603kffe,False,False,False,1764648071,74800,97350,85000,23.0,475720372011321,17GIAM30K1,10200.0,1782838800.0,1782925140.0,50000.0,1000.0,1000.0,4.9393939393939394,33,"[0, 0, 1, 0, 32]",[],Nescafé,1802055.0,100629,"[100629, 100651, 100824]",75,Hàng,"[""Chính hãng""]",Data/country_code=vn/dataset=products/shop_id=108166524/products.csv,4.923517,476759,1753,True,100.0,0,Thực phẩm và đồ uống,257047700.0,Cà phê & Trà,23.0,0.768361581920904,0.88,0.3,0.24390243902439024,Entry-level,1,1,1,1,3,0,0.6816666666666666,4.330733340286331,3.5263605246161616,2.272727272727273,0.5625,0.31083333333333335,0.5084175084175084,0,82,0.8892961876832844,0.6077712609970675,Nescafé,vn | Thực phẩm và đồ uống,0.43666666666666665,0.7,0.8994134897360704,0.3625330354938272,0.0,0,6.90875477931522,11.222586532857163,13.074768498596645,0,0,42.51714726478495,340.0,35.62030700314073,350.0,49.32781216225879,341.0,42.52,Maintain and Monitor,Shop credibility score is 90%.,The listing belongs to an official shop.,Price is at the 30% country-category percentile.,vn,Thực phẩm và đồ uống,74800,75,1000.0,Shop credibility score is 90%. | The listing belongs to an official shop. | Price is at the 30% country-category percentile.,Medium,vn | Thực phẩm và đồ uống; price pctl 30%; likes pctl 56%; sold-value pctl 51%
Shopee,,vn,2026-07-01,108166524,nestlevnn,Nestlé Chính hãng,Thành phố Hồ Chí Minh,15909559942,Trà Việt Quất và Hoa Atiso Đỏ NESTEA (Hộp 10 gói x 12g),https://shopee.vn/product/108166524/15909559942,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq35l42oto9898,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq35l42oto9898"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mpuhdmt2n8cs3b"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mphp5t0o41dsb8"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mphp5v0j198u77"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mphp5x4wba4g22""]","[""FBS_LOGO"", ""OFFICIAL_SHOP""]","[""id-11134258-81ztc-mdu2vrxb2tc065"", ""vn-11134258-7r98o-lyb3kdam2qw17d""]",18VCX+SSCBundle[1.7],vn-11134258-81ztc-mpuaa0q603kffe,False,False,False,1638268978,40000,50000,40000,20.0,475720372011321,,,,,,7000.0,597.0,4.898423817863398,1142,"[5, 7, 19, 37, 1074]",[],Nestea,1146806.0,100629,"[100629, 100651, 100825]",954,hàng,"[""chính hãng""]",Data/country_code=vn/dataset=products/shop_id=108166524/products.csv,4.923517,476759,1753,True,100.0,0,Thực phẩm và đồ uống,257047700.0,Cà phê & Trà,20.0,0.8,1.0,0.08666666666666667,0.08536585365853659,Entry-level,1,0,1,1,2,0,0.5916666666666667,6.86171134048073,7.04141166379481,0.8353765323992994,0.9333333333333333,0.8433333333333334,0.7836700336700336,1,82,0.8892961876832844,0.6077712609970675,Other,vn | Thực phẩm và đồ uống,0.8883333333333334,0.9133333333333333,0.8994134897360704,0.6587302044753087,0.10466329966329979,0,8.853808274977197,10.596659732783579,13.074768498596645,1,1,67.98342129782367,26.0,58.42301943369629,10.0,75.32858856587832,72.0,67.98,Protect Hero SKU,Likes are at the 93% peer percentile.,Price is at the 9% country-category percentile.,Shop credibility score is 90%.,vn,Thực phẩm và đồ uống,40000,954,597.0,Likes are at the 93% peer percentile. | Price is at the 9% country-category percentile. | Shop credibility score is 90%.,Medium,vn | Thực phẩm và đồ uống; price pctl 9%; likes pctl 93%; sold-value pctl 78%
Shopee,,vn,2026-07-01,108166524,nestlevnn,Nestlé Chính hãng,Thành phố Hồ Chí Minh,48406531717,Combo 2 hộp Trà Nestea Việt Quất & hoa Atiso đỏ hộp 10 gói x 12 g ,https://shopee.vn/product/108166524/48406531717,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq364l6l7x1c09,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq364l6l7x1c09"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-ml78jbqc3bb447"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-ml78jfyp85qnc0"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-ml77v4dpnt383d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-ml78jg6hf1u713"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-ml78jg7irbbc2f"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-ml78jg2sr6yw90""]","[""FBS_LOGO"", ""OFFICIAL_SHOP""]","[""id-11134258-81ztc-mdu2vrxb2tc065"", ""vn-11134258-7r98o-lyb3kdam2qw17d""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,False,1772160804,88000,100000,100000,12.0,0,17GIAM30K1,12000.0,1782838800.0,1782925140.0,50000.0,2000.0,2000.0,4.9588014981273405,267,"[0, 0, 1, 9, 257]","[""Mua để nhận quà""]",Nestea,1146806.0,100629,"[100629, 100651, 100825]",21,Hàng,"[""Combo""]",Data/country_code=vn/dataset=products/shop_id=108166524/products.csv,4.923517,476759,1753,True,100.0,0,Thực phẩm và đồ uống,257047700.0,Cà phê & Trà,12.0,0.88,0.88,0.355,0.3048780487804878,Mid-market,1,1,0,1,2,0,0.24916666666666668,3.091042453358316,5.5909869805108565,0.07865168539325842,0.30833333333333335,0.625,0.6001683501683501,0,82,0.8892961876832844,0.6077712609970675,Other,vn | Thực phẩm và đồ uống,0.4666666666666667,0.645,0.8994134897360704,0.49299201774691354,0.0,0,7.601402334583733,11.385103457032141,13.074768498596645,0,0,46.50904883359808,298.0,38.04240524318001,316.0,54.31868144606911,283.0,46.51,Maintain and Monitor,Shop credibility score is 90%.,Displayed discount is at the 25% peer percentile.,The listing belongs to an official shop.,vn,Thực phẩm và đồ uống,88000,21,2000.0,Shop credibility score is 90%. | Displayed discount is at the 25% peer percentile. | The listing belongs to an official shop.,Medium,vn | Thực phẩm và đồ uống; price pctl 36%; likes pctl 31%; sold-value pctl 60%
Shopee,,vn,2026-07-01,438905996,richystore-mn,Richy - Chi nhánh Miền Nam,Thành phố Hồ Chí Minh,40581612807,"[MUA 1 TẶNG 1] KENJU trà sữa 288gram, bánh kẹo Richy Date t1/2027",https://shopee.vn/product/438905996/40581612807,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1naduy2z2l39,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq1naduy2z2l39""]","[""PREFERRED""]","[""vn-11134258-7r98o-lyb3m8mjjmape6""]",18VCX+SSCBundle[1.7],vn-11134258-81ztc-mpuaa0q603kffe,False,False,True,1781140816,54560,62000,62000,12.0,0,17GIAM30K1,7440.0,1782838800.0,1782925140.0,50000.0,19.0,18.0,4.0,2,"[0, 0, 1, 0, 1]","[""Hàng mới về""]",Richy,1133235.0,100629,"[100629, 100646, 100787]",2,combo,"[""mua 1+1""]",Data/country_code=vn/dataset=products/shop_id=438905996/products.csv,4.928552,41472,298,False,99.0,0,Thực phẩm và đồ uống,259073235.0,🔥MUA 1 TẶNG 1,12.0,0.88,0.88,0.21166666666666667,0.27049180327868855,Entry-level,1,1,0,1,2,0,0.24916666666666668,1.0986122886681098,1.0986122886681098,1.0,0.08,0.09916666666666667,0.07154882154882154,0,122,0.33944281524926684,0.7573313782991202,Richy,vn | Thực phẩm và đồ uống,0.08958333333333333,0.7883333333333333,0.6173548387096774,0.07271695650077162,0.018034511784511792,0,2.995732273553991,10.907074620795127,10.632797892075562,0,0,19.178886067941683,618.0,18.370330746717286,609.0,18.85329601770675,641.0,19.18,Low Priority,Historical sold-value proxy is at the 7% peer percentile.,Likes are at the 8% peer percentile.,Price is at the 21% country-category percentile.,vn,Thực phẩm và đồ uống,54560,2,18.0,Historical sold-value proxy is at the 7% peer percentile. | Likes are at the 8% peer percentile. | Price is at the 21% country-category percentile.,High,vn | Thực phẩm và đồ uống; price pctl 21%; likes pctl 8%; sold-value pctl 7%
Shopee,,vn,2026-07-01,289646907,orion-official-store,Orion VN Official Store,Tỉnh Bắc Ninh,28702746044,"Combo 3 Túi 8 gói bánh ăn sáng Orion C'est Bon sợi thịt gà sốt kem phô mai (162,4G)",https://shopee.vn/product/289646907/28702746044,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mdjuumfipltx20,"[""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mdjuumfipltx20"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzsgxz9xic2p01"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzsgxz9xibt909"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzsgxz9xjqn52c"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzsgxz9xjqdp86""]","[""OFFICIAL_SHOP""]","[""vn-11134258-7r98o-lyb3kdam2qw17d""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,False,1718270563,113520,132000,132000,14.0,0,VCXFM30K107,18480.0,1782838800.0,1782925140.0,99000.0,8000.0,4000.0,4.946847960444994,809,"[3, 0, 6, 19, 781]",[],ORION,3395424.0,100629,"[100629, 100654, 100856]",172,,"[""""]",Data/country_code=vn/dataset=products/shop_id=289646907/products.csv,4.911955,87482,238,True,95.0,0,Thực phẩm và đồ uống,,,14.0,0.86,0.86,0.4666666666666667,0.23809523809523808,Mid-market,1,1,0,1,2,0,0.32083333333333336,5.153291594497779,6.697034247666484,0.2126081582200247,0.7241666666666666,0.7916666666666666,0.8063973063973064,0,84,0.6312316715542522,0.3819648093841642,ORION,vn | Thực phẩm và đồ uống,0.7579166666666666,0.5333333333333333,0.7926392961876833,0.6964791083140432,0.0,0,8.987321812850125,11.639743120815561,11.379199767755505,0,0,58.78277571453361,147.0,47.23640710899033,171.0,68.69286958319474,139.0,58.78,Protect Hero SKU,Historical sold-value proxy is at the 81% peer percentile.,Shop credibility score is 79%.,The listing belongs to an official shop.,vn,Thực phẩm và đồ uống,113520,172,4000.0,Historical sold-value proxy is at the 81% peer percentile. | Shop credibility score is 79%. | The listing belongs to an official shop.,Medium,vn | Thực phẩm và đồ uống; price pctl 47%; likes pctl 72%; sold-value pctl 81%
Shopee,,vn,2026-07-02,1145316676,nestlehealthscience,Nestlé Health Science,Thành phố Hồ Chí Minh,29026023897,(Quà Tặng Không Bán) Chảo Chống Dính,https://shopee.vn/product/1145316676/29026023897,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmpr4sgbl6o5e6,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmpr4sgbl6o5e6"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mmpr4nu37nye8c"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mizhzyzarbbaea"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mizhzxahpgci28""]","[""OFFICIAL_SHOP""]","[""vn-11134258-7r98o-lyb3kdam2qw17d""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,False,1739418019,381800,500000,500000,24.0,0,237GIAM90K2,78200.0,1782925200.0,1783097940.0,250000.0,1000.0,16.0,4.914572864321608,199,"[2, 0, 2, 5, 190]",[],Nestle,2563581.0,100636,"[100636, 100717, 101218]",0,,"[""""]",Data/country_code=vn/dataset=products/shop_id=1145316676/products.csv,4.874526,11637,119,True,100.0,1,Nhà cửa & Đời sống,,,24.0,0.7636,0.7636,0.6666666666666666,0.3390804597701149,Mid-market,1,1,0,1,2,0,1.0,0.0,5.298317366548036,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0,87,0.08211143695014662,0.1158357771260997,Nestle,vn | Nhà cửa & Đời sống,0.5,0.33333333333333337,0.6375894428152493,0.4441666666666667,0.0,0,6.90875477931522,12.852654809442695,9.362030885216615,0,0,45.53839442815249,310.0,34.98422776148583,362.0,57.33884164222874,253.0,45.54,Maintain and Monitor,Displayed discount is at the 100% peer percentile.,Historical sold-value proxy is at the 83% peer percentile.,The listing belongs to an official shop.,vn,Nhà cửa & Đời sống,381800,0,16.0,Displayed discount is at the 100% peer percentile. | Historical sold-value proxy is at the 83% peer percentile. | The listing belongs to an official shop.,Medium,vn | Nhà cửa & Đời sống; price pctl 67%; likes pctl 33%; sold-value pctl 83%
Shopee,,vn,2026-07-02,1546895026,mars-wrigley-vn,Mars Snacking VN,Thành phố Hồ Chí Minh,42506217538,[Quà tặng không bán] Gói kẹo Skittles Gummies 42.5g (vị ngẫu nhiên),https://shopee.vn/product/1546895026/42506217538,https://down-vn.img.susercontent.com/file/vn-11134275-7ras8-mbgb0dz98l6s51,"[""https://down-vn.img.susercontent.com/file/vn-11134275-7ras8-mbgb0dz98l6s51"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbqmgdlmxkky4d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbqmgdlmw60i46"", ""https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-mbqmgdlmyz5e01""]","[""OFFICIAL_SHOP""]","[""vn-11134258-7r98o-lyb3kdam2qw17d""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,False,1750918708,805100,1000000,1000000,19.0,0,237GIAM350K2,164900.0,1782925200.0,1783097940.0,600000.0,1000.0,624.0,4.92814371257485,169,"[2, 0, 1, 2, 164]",[],Skittles,1079276.0,100629,"[100629, 100646, 100785]",2,,"[""""]",Data/country_code=vn/dataset=products/shop_id=1546895026/products.csv,4.937186,14986,97,True,100.0,0,Thực phẩm và đồ uống,,,19.0,0.8051,0.8051,0.9725,0.9507042253521126,Premium,1,1,0,1,2,0,0.5125,1.0986122886681098,5.135798437050262,0.011834319526627219,0.08,0.5533333333333333,0.5084175084175084,0,71,0.19794721407624633,0.9310850439882697,Skittles,vn | Thực phẩm và đồ uống,0.31666666666666665,0.02749999999999997,0.8258064516129032,0.34641012731481485,0.0,0,6.90875477931522,13.59872301436903,9.614938437644996,0,0,31.81423326086809,470.0,24.998007540118934,523.0,41.69997750862115,413.0,31.81,Maintain and Monitor,Price is at the 97% country-category percentile.,Likes are at the 8% peer percentile.,Shop credibility score is 83%.,vn,Thực phẩm và đồ uống,805100,2,624.0,Price is at the 97% country-category percentile. | Likes are at the 8% peer percentile. | Shop credibility score is 83%.,Medium,vn | Thực phẩm và đồ uống; price pctl 97%; likes pctl 8%; sold-value pctl 51%
Shopee,,vn,2026-07-02,1546895026,mars-wrigley-vn,Mars Snacking VN,Thành phố Hồ Chí Minh,51351130220,[Quà tặng không bán] Kẹo sing-gum không đường Doublemint Refreshers hương bạc hà hũ 40g,https://shopee.vn/product/1546895026/51351130220,https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2fi80d9d,"[""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2fi80d9d"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat245gr325"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2b4weme8"", ""https://down-vn.img.susercontent.com/file/vn-11134207-820l4-mftyat2mkgsq4a""]","[""OFFICIAL_SHOP""]","[""vn-11134258-7r98o-lyb3kdam2qw17d""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,False,1762802695,805100,1000000,1000000,19.0,0,237GIAM350K2,164900.0,1782925200.0,1783097940.0,600000.0,300.0,300.0,0.0,0,"[0, 0, 0, 0, 0]",[],Doublemint,1070570.0,100629,"[100629, 100646, 100785]",0,,"[""""]",Data/country_code=vn/dataset=products/shop_id=1546895026/products.csv,4.937186,14986,97,True,100.0,0,Thực phẩm và đồ uống,,,19.0,0.8051,0.8051,0.9725,0.9507042253521126,Premium,1,1,0,1,2,0,0.5125,0.0,0.0,0.0,0.020833333333333332,0.030833333333333334,0.2845117845117845,0,71,0.19794721407624633,0.9310850439882697,Other,vn | Thực phẩm và đồ uống,0.025833333333333333,0.02749999999999997,0.8258064516129032,0.13795238136574073,0.0,0,5.707110264748875,13.59872301436903,9.614938437644996,0,0,16.93841926018417,643.0,13.403539508237616,660.0,24.507866379096747,586.0,16.94,Low Priority,Likes are at the 2% peer percentile.,Price is at the 97% country-category percentile.,Shop credibility score is 83%.,vn,Thực phẩm và đồ uống,805100,0,300.0,Likes are at the 2% peer percentile. | Price is at the 97% country-category percentile. | Shop credibility score is 83%.,High,vn | Thực phẩm và đồ uống; price pctl 97%; likes pctl 2%; sold-value pctl 28%
Shopee,,vn,2026-07-02,438905996,richystore-mn,Richy - Chi nhánh Miền Nam,Thành phố Hồ Chí Minh,57260349532,"[TẶNG QUẠT ĐƠN 180K]  COMBO ĂN VẶT: Kenju rau củ, kenju tôm, yến mạch phô mai 220g, ym sữa 250g",https://shopee.vn/product/438905996/57260349532,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq4ijsi6bk0286,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq4ijsi6bk0286"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo56ggdlhjwj7f"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mo56ggdup1xhe6""]","[""PREFERRED""]","[""vn-11134258-7r98o-lyb3m8mjjmape6""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,True,1778575165,154800,190000,190000,19.0,0,VCXDPUL0702A,25200.0,1782925200.0,1783011540.0,150000.0,,,0.0,0,"[0, 0, 0, 0, 0]","[""Mua để nhận quà""]",Richy,1133235.0,100629,"[100629, 100646, 100787]",0,,"[""""]",Data/country_code=vn/dataset=products/shop_id=438905996/products.csv,4.928552,41472,298,False,99.0,0,Thực phẩm và đồ uống,158671238.0,🔥 Combo mix vị siêu lời,19.0,0.8147368421052632,0.8147368421052632,0.6633333333333333,0.7131147540983607,Mid-market,1,1,0,1,2,0,0.5125,0.0,0.0,0.0,0.020833333333333332,0.030833333333333334,0.5,0,122,0.33944281524926684,0.7573313782991202,Richy,vn | Thực phẩm và đồ uống,0.025833333333333333,0.33666666666666667,0.6173548387096774,0.23521164062500002,0.0,0,0.0,11.949895700065218,10.632797892075562,0,0,23.714222996471776,566.0,17.538164793346777,621.0,31.441605653561833,520.0,23.71,Maintain and Monitor,Likes are at the 2% peer percentile.,Price is at the 66% country-category percentile.,Shop credibility score is 62%.,vn,Thực phẩm và đồ uống,154800,0,,Likes are at the 2% peer percentile. | Price is at the 66% country-category percentile. | Shop credibility score is 62%.,Medium,vn | Thực phẩm và đồ uống; price pctl 66%; likes pctl 2%; sold-value pctl 50%
Shopee,,vn,2026-07-02,108166524,nestlevnn,Nestlé Chính hãng,Thành phố Hồ Chí Minh,10718498371,[Có thêm Nấm Mối] Hạt Nêm Nấm Hương MAGGI MỚI 450g - THÊM NẤM MỐI,https://shopee.vn/product/108166524/10718498371,https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq2x0sxtupz50b,"[""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-mq2x0sxtupz50b"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-modrwu2flou86b"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-modrwwf6osgdc7"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-modrxmmafhfz50"", ""https://down-vn.img.susercontent.com/file/vn-11134207-81ztc-modrxokiqwaz3c"", ""https://down-vn.img.susercontent.com/file/vn-11134201-81ztc-mq2w8yfncemm52""]","[""FBS_LOGO"", ""OFFICIAL_SHOP""]","[""id-11134258-81ztc-mdu2vrxb2tc065"", ""vn-11134258-7r98o-lyb3kdam2qw17d""]",30VCX[26.6-9.7.2026],vn-11134258-81ztc-mpuan4n576yqc2,False,False,False,1626333808,61600,70000,70000,12.0,0,VCXDPULC0702,8400.0,1782925200.0,1783011540.0,50000.0,20000.0,9000.0,4.931284677763551,2344,"[18, 7, 14, 40, 2265]",[],Maggi,1146720.0,100629,"[100629, 100648, 100809]",922,,"[""""]",Data/country_code=vn/dataset=products/shop_id=108166524/products.csv,4.923517,476759,1753,True,100.0,0,Thực phẩm và đồ uống,,,12.0,0.88,0.88,0.24333333333333335,0.1951219512195122,Entry-level,1,1,0,1,2,0,0.24916666666666668,6.827629234502852,7.76004068088038,0.39334470989761094,0.9266666666666666,0.935,0.9452861952861953,1,82,0.8892961876832844,0.6077712609970675,Maggi,vn | Thực phẩm và đồ uống,0.9308333333333334,0.7566666666666666,0.8994134897360704,0.8569127582947532,0.0,0,9.90353755128617,11.028433383156079,13.074768498596645,0,0,71.5910501775059,6.0,57.85362443317019,17.0,82.19951343067208,7.0,71.59,Protect Hero SKU,Historical sold-value proxy is at the 95% peer percentile.,Likes are at the 93% peer percentile.,Shop credibility score is 90%.,vn,Thực phẩm và đồ uống,61600,922,9000.0,Historical sold-value proxy is at the 95% peer percentile. | Likes are at the 93% peer percentile. | Shop credibility score is 90%.,High,vn | Thực phẩm và đồ uống; price pctl 24%; likes pctl 93%; sold-value pctl 95%
