country,country_code,shop_id,shop_name,item_id,product_name,category,platform_category,shop_category,current_price,price,discount_percent,displayed_discount_pct,likes,liked_count,rating_count,monthly_sold_value_proxy,monthly_sold_value,history_sold_value,opportunity_score,recommendation_label,confidence_level,top_three_explanation_reasons,reason_1,reason_2,reason_3,peer_group_benchmark
id,id,809769142,Glad2Glow Official Store,19691541572,Glad2Glow Pomegranate Niacinamide Brightening Moisturizer Mencerahkan Pemutih Kulit Gel Pelembab Bercahaya Krim Siang dan Malam Perawatan Kulit Ekstrak DelimaPelembab Esensi Wajah Perawatan Kulit g2glow official store,Beauty,Beauty,SKINCARE,41900,41900,62.0,62.0,143952,143952,464216,1000.0,1000.0,10000.0,71.92,Protect Hero SKU,High,Likes are at the 100% peer percentile. | Shop credibility score is 87%. | Price is at the 17% country-category percentile.,Likes are at the 100% peer percentile.,Shop credibility score is 87%.,Price is at the 17% country-category percentile.,id | Beauty; price pctl 17%; likes pctl 100%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,20636165691,Glad2Glow Blueberry 5% Ceramide Moisturizer Repair Barrier Pulihkan skincare day cream Night Cream  repair cream  skincare Sensitive G2G glad2glow official store,Beauty,Beauty,SKINCARE,44900,44900,55.0,55.0,116007,116007,335718,1000.0,1000.0,10000.0,71.88,Protect Hero SKU,High,Likes are at the 99% peer percentile. | Shop credibility score is 87%. | Price is at the 20% country-category percentile.,Likes are at the 99% peer percentile.,Shop credibility score is 87%.,Price is at the 20% country-category percentile.,id | Beauty; price pctl 20%; likes pctl 99%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,27408030377,Glad2Glow Peeling Solution Serum Eksfoliasi Wajah 60 detik Menghaluskan Kulit AHA BHA PHA serum wajah glowing pelembab mencerahkan peeling exfoliating serum g2glow official store,Beauty,Beauty,SKINCARE,45900,45900,58.0,58.0,138736,138736,396381,1000.0,1000.0,10000.0,71.81,Protect Hero SKU,High,Likes are at the 100% peer percentile. | Shop credibility score is 87%. | Price is at the 21% country-category percentile.,Likes are at the 100% peer percentile.,Shop credibility score is 87%.,Price is at the 21% country-category percentile.,id | Beauty; price pctl 21%; likes pctl 100%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,18584356032,[DISKON 60%] Glad2Glow Clay Stick&Face Mask Series-Pomegranate Brightening/Mugwort Acne/ Volcanic Pore-sleeping masker g2glow official store,Beauty,Beauty,SKINCARE,48900,48900,51.0,51.0,122272,122272,277808,1000.0,1000.0,10000.0,71.77,Protect Hero SKU,High,Likes are at the 99% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 99% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 24%; likes pctl 99%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,25614268730,[HOT SALE]Glad2Glow Micellar Water 300ml cleansing oil cleansing balm micellar centella salycilic acid remover pembersih double cleansing pembersih make up remove cleanface facial  Menghilangkan jerawat Penghapus riasan g2glow official store,Beauty,Beauty,✨BEST SELLING,48900,48900,51.0,51.0,109044,109044,278502,1000.0,1000.0,10000.0,71.71,Protect Hero SKU,High,Likes are at the 99% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 99% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 24%; likes pctl 99%; sold-value pctl 79%
id,id,1112776376,Scora Official Store,25815711335,SCORA Salicylic Acid Gentle Low pH Cleanser Sabun Cuci Muka Oily Acne Prone Skin Friendly 100 ml,Beauty,Beauty,Special Day Banting Harga ✨💵,35900,35900,53.0,53.0,92863,92863,348292,1000.0,1000.0,10000.0,71.4,Protect Hero SKU,Medium,Likes are at the 98% peer percentile. | Price is at the 6% country-category percentile. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 98% peer percentile.,Price is at the 6% country-category percentile.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 6%; likes pctl 98%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,20229171522,[BUY 100ml Save 30%]Glad2Glow Blueberry Ceramide Low pH Gel Cleanser Gentle skin Facial Wash oil control skincare  pembersih wajah sabun cuci muka face wash micellar water g2glow official store,Beauty,Beauty,SKINCARE,37000,37000,71.0,71.0,63719,63719,282209,1000.0,1000.0,10000.0,71.15,Protect Hero SKU,Medium,Likes are at the 96% peer percentile. | Price is at the 8% country-category percentile. | Shop credibility score is 87%.,Likes are at the 96% peer percentile.,Price is at the 8% country-category percentile.,Shop credibility score is 87%.,id | Beauty; price pctl 8%; likes pctl 96%; sold-value pctl 79%
id,id,779266191,lavojoy Official Shop,23587779086,[Tone Up 00-01-02-03] Lavojoy Let It Glow Daily Shine Body Serum Instant Tone Up Delicate Rose with SPF 50PA++++ | Body Serum untuk Perlindungan Sinar UV | Mencerahkan Seketika & Melembapkan Kulit dengan 3% Niacinamide + Australian Super VC + Ceramide,Beauty,Beauty,LVJ BODY CARE SERIES,59040,59040,40.0,40.0,124629,124629,100097,1000.0,1000.0,10000.0,70.74,Protect Hero SKU,Medium,Likes are at the 99% peer percentile. | Shop credibility score is 85%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 99% peer percentile.,Shop credibility score is 85%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 33%; likes pctl 99%; sold-value pctl 79%
id,id,779266191,lavojoy Official Shop,21195685165,Lavojoy Let It Glow Body Serum Skin Brightening Upgraded Version | Body Serum Untuk Mencerahkan Dan Melembabkan Kulit Dengan Niacinamide + Ceramide + Vitamin E,Beauty,Beauty,LVJ BODY CARE SERIES,43000,43000,49.0,49.0,97560,97560,75174,1000.0,1000.0,10000.0,70.74,Protect Hero SKU,Medium,Likes are at the 98% peer percentile. | Shop credibility score is 85%. | Price is at the 18% country-category percentile.,Likes are at the 98% peer percentile.,Shop credibility score is 85%.,Price is at the 18% country-category percentile.,id | Beauty; price pctl 18%; likes pctl 98%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,21829166888,Glad2Glow Serum Series-Peeling| Exfoliating | Mencerahkan Wajah | Retinol |Niacinamide| Dark Spot | Acne | Jerawat Glowing Brightening Glow G2G,Beauty,Beauty,SKINCARE,39900,39900,63.0,63.0,82170,82170,258044,1000.0,1000.0,10000.0,70.69,Protect Hero SKU,Medium,Likes are at the 97% peer percentile. | Shop credibility score is 87%. | Price is at the 16% country-category percentile.,Likes are at the 97% peer percentile.,Shop credibility score is 87%.,Price is at the 16% country-category percentile.,id | Beauty; price pctl 16%; likes pctl 97%; sold-value pctl 79%
vn,vn,430972539,Perfetti Van Melle Vietnam,10665244303,"Kẹo cứng, kẹo mềm, kẹo nhai Alpenliebe, Golia, Mentos dạng gói nhiều hương vị",Thực phẩm và đồ uống,Thực phẩm và đồ uống,Kẹo cứng,25000,25000,0.0,0.0,2192,2192,3325,652.0,652.0,30000.0,77.21,Protect Hero SKU,High,Price is at the 2% country-category percentile. | Likes are at the 98% peer percentile. | Displayed discount is at the 2% peer percentile.,Price is at the 2% country-category percentile.,Likes are at the 98% peer percentile.,Displayed discount is at the 2% peer percentile.,vn | Thực phẩm và đồ uống; price pctl 2%; likes pctl 98%; sold-value pctl 97%
